"no_dokumen","judul_kerma","jenis_dokumen_kerjasama","dasar_dokumen_kerjasama","deskripsi","status_kerma","tanggal_awal","tanggal_akhir","anggaran","sumber_pendanaan","dibuat","diubah"
"0080.1.00/IT2.IV.3/KS.00.00/2021","Jasa Konsultansi Pembuatan Peta Dasar Revisi Rencana Tata Ruang Wilayah (RTRW) Kota Madiun","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Konsultansi Pembuatan Peta Dasar Revisi Rencana Tata Ruang Wilayah (RTRW) Kota Madiun","Aktif","18-05-2021","16-08-2021","150000000","Dinas Kabupaten","28 February 2022 07:08","28 February 2022 08:19"
"1742/PKS/ITS/2021","Perjanjian Pendanaan antara New Zealand Aid Programme - New Zealand Embassy dan ITS Surabaya pada Enabling the Assesment of alternative water supply systems to promote urban water security in the Global South (Alt Water)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Pendanaan antara New Zealand Aid Programme - New Zealand Embassy dan ITS Surabaya pada Enabling the Assesment of alternative water supply systems to promote urban water security in the Global South (Alt Water)","Aktif","01-07-2021","31-12-2021","","","28 February 2022 08:12","28 February 2022 08:12"
"26/Addendum/ITS/2020","Perjanjian Kerjasama antara ITS Surabaya dan IHE Delft Foundation - UNESCO","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Kerjasama antara ITS Surabaya dan IHE Delft Foundation - UNESCO","Aktif","30-09-2020","30-06-2023","","Lembaga donor luar negeri","28 February 2022 07:59","28 February 2022 07:59"
"0177.1.00/IT2.IV.3/KS.00.00/2021","Penyusunan Bahan Monev Bidang Kewilayahan","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Bahan Monev Bidang Kewilayahan","Aktif","25-05-2021",,"","Dinas Kabupaten","28 February 2022 07:49","28 February 2022 07:49"
"2235/PKS/ITS/2018","Contract for Services Between The United Nations Educational, Scientific and Cultural Organization and ITS Surabaya","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Contract for Services Between The United Nations Educational, Scientific and Cultural Organization and ITS Surabaya","Aktif","19-11-2018","30-06-2023","","Lembaga donor luar negeri","28 February 2022 07:39","28 February 2022 07:39"
"074/ /417.504.5/2021","Penyusunan Profil Pembangunan Manusia Berbasis Gender Tahun 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Profil Pembangunan Manusia Berbasis Gender Tahun 2021","Aktif","06-09-2021","04-12-2021","75900000","Lainnya","28 February 2022 03:30","28 February 2022 07:26"
"074/ /417.504.5/2021","Penyusunan Buku Profil Gender Tahun 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Buku Profil Gender Tahun 2021","Aktif","06-09-2021","04-12-2021","54300000","Lainnya","28 February 2022 03:17","28 February 2022 07:26"
"027/331/417.506.4/2021","Pendampingan Jasa Konsultansi Penyusunan Indeks Kesalehan Sosial","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pendampingan Jasa Konsultansi Penyusunan Indeks Kesalehan Sosial","Aktif","10-08-2021","17-11-2021","64799500","Lainnya","28 February 2022 03:12","28 February 2022 07:25"
"SP-001/PIS2230/2021-S0","Kajian Upgrading Jetty untuk Proyek Gasifikasi RU IV Cilacap PT Pertamina Internasional Shipping","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Upgrading Jetty untuk Proyek Gasifikasi RU IV Cilacap PT Pertamina Internasional Shipping","Aktif","20-08-2021","19-10-2021","561000000","Lainnya","28 February 2022 03:07","28 February 2022 07:25"
"EXT-B-005/HSE/MEDC/L/VII/2021","Training LCA, Pembuatan Rodmap dan Investory Data  LCA","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Training LCA, Pembuatan Rodmap dan Investory Data  LCA","Aktif","30-07-2021","31-03-2022","211138180","Lainnya","28 February 2022 03:01","28 February 2022 07:25"
"0137.1.00/IT2.IV.3/KS.00.00/2021","Pelaksanaan Pengembangan Aplikasi Simlitabmas V2.0","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pelaksanaan Pengembangan Aplikasi Simlitabmas V2.0","Aktif","15-06-2021","16-12-2021","127400000","Dana mandiri","28 February 2022 00:40","28 February 2022 07:25"
"001/S0230/2021-S0","ANALISA/ KAJIAN TEKNIS TERKAIT PENYEBAB INSIDEN KEBAKARAN TANKI DI RU VI BALONGAN","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan ANALISA/ KAJIAN TEKNIS TERKAIT PENYEBAB INSIDEN KEBAKARAN TANKI DI RU VI BALONGAN","Aktif","20-04-2021","17-08-2021","314600000","Lainnya","28 February 2022 01:12","28 February 2022 07:24"
"0131.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","39507869","Direktorat PSMA","28 February 2022 00:33","28 February 2022 07:24"
"OI0688","Jasa Assesment Validasi Reability Block Diagram","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Jasa Assesment Validasi Reability Block Diagram","Aktif","05-11-2018","05-01-2019","","Bantuan Swasta","28 February 2022 07:24","28 February 2022 07:24"
"0136.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","29756228","Direktorat PSMA","28 February 2022 00:30","28 February 2022 07:24"
"0135.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","19774531","Direktorat PSMA","28 February 2022 00:26","28 February 2022 07:23"
"0134.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","23990460","Direktorat PSMA","28 February 2022 00:22","28 February 2022 07:23"
"1058/PKS/ITS/2021","Program Agreement between ITS Surabaya and Japan International Cooperation Agency Project for ASEAN University Network / Southeast Asia Engineering Education Development Network on Rapid Detection of COVID19 through Sweat Analysis by Using an Electronic Nose","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Program Agreement between ITS Surabaya and Japan International Cooperation Agency Project for ASEAN University Network / Southeast Asia Engineering Education Development Network on Rapid Detection of COVID19 through Sweat Analysis by Using an Electronic Nose","Aktif","02-04-2021","15-12-2021","","Lembaga donor luar negeri","28 February 2022 07:23","28 February 2022 07:23"
"0133.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","37939419","","28 February 2022 00:17","28 February 2022 07:23"
"0132.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","31935967","Direktorat PSMA","28 February 2022 00:11","28 February 2022 07:23"
"0261/ADM-SPK/ADB/VIII/2021","Revisi Dokumen Lingkungan Menjadi Persetujuan Lingkungan, berdasarkan Nota Dinas Manager UPK Sebalang","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Revisi Dokumen Lingkungan Menjadi Persetujuan Lingkungan, berdasarkan Nota Dinas Manager UPK Sebalang","Aktif","20-08-2021","16-04-2022","588775000","Lainnya","27 February 2022 15:47","28 February 2022 07:22"
"0129.1.00/IT2.IV.3/KS.00.00/2021","Pelaksanaan Penerimaan Peserta Didik Baru Jenjang SMP Tahun Ajaran 2021/2022","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pelaksanaan Penerimaan Peserta Didik Baru Jenjang SMP Tahun Ajaran 2021/2022","Aktif","03-05-2021","08-06-2021","195000000","Direktorat PSMP","27 February 2022 15:32","28 February 2022 07:22"
"050/1536/436.2.2/2021","Pengendalian dan Evaluasi Penyerapan Anggaran Pembangunan di lingkungan Pemerintah Kota Surabaya","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pengendalian dan Evaluasi Penyerapan Anggaran Pembangunan di lingkungan Pemerintah Kota Surabaya","Aktif","01-07-2021","31-12-2021","464475000","Lainnya","28 February 2022 01:07","28 February 2022 07:22"
"0672.Pj/HKM.02.01/C01000103/2021","PENGADAAN JASA KONSULTANSI PENYUSUNAN KAJIAN ASESMEN TEKNOLOGI DAN KINERJA PLTS SEMAU NTT SERTA STANDARD DESAIN SMART HYBRID MICROGRID PLN","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan PENGADAAN JASA KONSULTANSI PENYUSUNAN KAJIAN ASESMEN TEKNOLOGI DAN KINERJA PLTS SEMAU NTT SERTA STANDARD DESAIN SMART HYBRID MICROGRID PLN","Aktif","15-11-2021","15-04-2022","638843722","Lainnya","28 February 2022 00:56","28 February 2022 07:21"
"050/1535/436.2.2/2021","Penyempurnaan SHS, HSPK dan ASB tahun 2022 Bagian Administrasi Pembangunan Kota Surabaya","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyempurnaan SHS, HSPK dan ASB tahun 2022 Bagian Administrasi Pembangunan Kota Surabaya","Aktif","30-06-2021","31-12-2021","243375000","Lainnya","28 February 2022 00:51","28 February 2022 07:21"
"0260/ADM-SPK/ADB/VIII/2021","Jasa Social Mapping, berdasarkan Nota Dinas Manager UPK Sebalang","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Jasa Social Mapping, berdasarkan Nota Dinas Manager UPK Sebalang","Aktif","19-08-2021","14-02-2022","467005000","Lainnya","27 February 2022 15:06","28 February 2022 07:21"
"0116.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","24061137","Direktorat PSMA","27 February 2022 14:47","28 February 2022 07:20"
"0115.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","37321809","Lainnya","28 February 2022 03:44","28 February 2022 07:20"
"0114.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","30078700","Direktorat PSMA","28 February 2022 03:47","28 February 2022 07:20"
"0113.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","24037908","Direktorat PSMA","28 February 2022 03:50","28 February 2022 07:19"
"0112.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-12-2022","33187276","Direktorat PSMA","28 February 2022 03:55","28 February 2022 07:19"
"0123.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","25180417","Direktorat PSMA","28 February 2022 03:58","28 February 2022 07:19"
"0122.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","20817327","Direktorat PSMA","28 February 2022 04:08","28 February 2022 07:19"
"0121.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","31204908","Direktorat PSMA","28 February 2022 04:11","28 February 2022 07:18"
"0120.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","23905225","Direktorat PSMA","28 February 2022 04:13","28 February 2022 07:18"
"0119.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","36691057","Direktorat PSMA","28 February 2022 04:16","28 February 2022 07:18"
"2377/PKS/ITS/2020","Grant Agreement between European Commision yang diwakili oleh Innovation and Networks Executive Agency (INEA)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Grant Agreement between European Commision yang diwakili oleh Innovation and Networks Executive Agency (INEA)  pada Strengthening synergies between Aviation and maritime in the area of human Factors towards achieving more Efficient and resilient MODE of transportation (SAFEMODE)","Aktif","02-11-2020","15-04-2022","","Lembaga donor luar negeri","28 February 2022 07:18","28 February 2022 07:18"
"0118.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","23698503","Direktorat PSMA","28 February 2022 04:19","28 February 2022 07:17"
"0117.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","34169679","Direktorat PSMA","28 February 2022 04:21","28 February 2022 07:17"
"4101077672","Jasa Environmental Beyond Compliance PT Pertamina Hulu Rokan Zona 1 Rantau Field","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Jasa Environmental Beyond Compliance PT Pertamina Hulu Rokan Zona 1 Rantau Field","Aktif","03-09-2021","23-10-2023","1806182620","Lainnya","28 February 2022 04:49","28 February 2022 07:16"
"SP-001/G40100/2021-S","Pengelolaan Endapan Brine Geothermal Menjadi Nano Silika Di Lapangan Geothermal Hululais","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pengelolaan Endapan Brine Geothermal Menjadi Nano Silika Di Lapangan Geothermal Hululais","Aktif","18-08-2021","18-12-2021","352000000","Lainnya","28 February 2022 04:56","28 February 2022 07:16"
"0109.1.00/IT2.IV.3/KS.00.00/2021","STUDI POTENSI PENGOPERASIAN FLOATING STORAGE BARGE SEBAGAI INFRASTRUKTUR PENUNJANG WILAYAH TERLUAR, TERDEPAN, TERTINGGAL, DAN PERBATASAN (3TP)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan STUDI POTENSI PENGOPERASIAN FLOATING STORAGE BARGE SEBAGAI INFRASTRUKTUR PENUNJANG WILAYAH TERLUAR, TERDEPAN, TERTINGGAL, DAN PERBATASAN (3TP)","Aktif","02-06-2021","29-11-2021","876245700","Lainnya","28 February 2022 05:00","28 February 2022 07:16"
"4600013036","KAJIAN EFISIENSI DAN MANAJEMEN ENERGI SEBAGAI KETAATAN TERHADAP PROGRAM KONSERVASI ENERGI","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan KAJIAN EFISIENSI DAN MANAJEMEN ENERGI SEBAGAI KETAATAN TERHADAP PROGRAM KONSERVASI ENERGI","Aktif","06-09-2021","05-09-2022","428109000","Lainnya","28 February 2022 05:02","28 February 2022 07:14"
"300455430","Swakelola Pekerjaan Studi Benchmark Kinerja Lingkungan PT Pertamina EP Tahun 2021","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Studi Benchmark Kinerja Lingkungan PT Pertamina EP Tahun 2021","Aktif","21-06-2021","05-08-2021","478500000","Lainnya","28 February 2022 06:30","28 February 2022 07:07"
"0659.Pj/DAN.01.02/C01100100/2021","PERENCANAAN DAN PENGENDALIAN REGIONAL SULAWESI, MALUKU, PAPUA DAN NUSA TENGGARA ( SULMAPAMA)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan PERENCANAAN DAN PENGENDALIAN REGIONAL SULAWESI, MALUKU, PAPUA DAN NUSA TENGGARA ( SULMAPAMA)","Aktif","09-11-2021","09-03-2022","846435700","Lainnya","28 February 2022 06:41","28 February 2022 07:06"
"KU.003/VII/8/PBJK-BLTU-2021","Penelitian Penyiapan Dokumen Teknis Sertifikasi dan Paten Peralatan Purwarupa Standing Water Detector (SWD)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penelitian Penyiapan Dokumen Teknis Sertifikasi dan Paten Peralatan Purwarupa Standing Water Detector (SWD)","Aktif","01-07-2021","30-11-2021","184753000","Lainnya","28 February 2022 06:46","28 February 2022 07:06"
"0174.1.00/IT2.IV.3/KS.00.00/2021","Pembuatan Titik Ground Center Point (GCP) Orthorektifikasi, Digital Peta, Pembentukan Basis Data Untuk Peta RDTR Kota Bontang","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Pembuatan Titik Ground Center Point (GCP) Orthorektifikasi, Digital Peta, Pembentukan Basis Data Untuk Peta RDTR Kota Bontang","Aktif","01-07-2021","29-09-2021","","Dinas Kabupaten","28 February 2022 07:03","28 February 2022 07:03"
"ITS SPRAC 2101","Program Agreement between ITS SUrabaya and Japan International Cooperation Agency Project for ASEAN University Network Southeast Asia Engineering Education Development Network","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Program Agreement between ITS SUrabaya and Japan International Cooperation Agency Project for ASEAN University Network Southeast Asia Engineering Education Development Network","Aktif","02-04-2021","15-12-2021","","Lembaga donor luar negeri","28 February 2022 06:56","28 February 2022 06:56"
"1263/E3/PKS.04/KL/2021","Perjanjian Kerjasama Antara Pejabat Pembuat Komitmen (PPK) pada Direktorat Kelembagaan-Direktorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan dengan PUI-PT Artificial Intelligence for Healthcare and Society (AIHeS)/University Center of Excellence on Artificial Intelligence for Healthcare and Society (AIHeS) (UCE AIHeS) ITS Surabaya","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Kerjasama Antara Pejabat Pembuat Komitmen (PPK) pada Direktorat Kelembagaan-Direktorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan dengan PUI-PT Artificial Intelligence for Healthcare and Society (AIHeS)/University Center of Excellence on Artificial Intelligence for Healthcare and Society (AIHeS) (UCE AIHeS) ITS Surabaya","Aktif","07-04-2021","31-12-2021","","Lainnya","28 February 2022 05:53","28 February 2022 06:51"
"1246/E3/PKS.04/KL/2021","Perjanjian Kerjasama Antara Pejabat Pembuat Komitmen (PPK) pada Direktorat Kelembagaan-DIrektorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan dengan PUI Desain Kreatif, ITS Surabaya","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Kerjasama Antara Pejabat Pembuat Komitmen (PPK) pada Direktorat Kelembagaan-DIrektorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan dengan PUI Desain Kreatif, ITS Surabaya","Aktif","07-04-2021","31-12-2021","","Lainnya","28 February 2022 05:42","28 February 2022 06:50"
"074/19410/201.2/2020","Perjanjian Kerjasama Swakelola oleh Instansi Pemerintah Lain Pelaksana SwakelolaAntara Pejabat Pembuat Komitmen Bidang Perencanaan, Pengendalian dan Evaluasi Pembangunan Daerah Dengan Direktorat Riset dan Pengabdian Kepada Masyarakat (DRPM) ITS Surabaya","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Kerjasama Swakelola oleh Instansi Pemerintah Lain Pelaksana Swakelola Antara Pejabat Pembuat Komitmen Bidang Perencanaan, Pengendalian dan Evaluasi Pembangunan Daerah Dengan Direktorat Riset dan Pengabdian Kepada Masyarakat (DRPM) ITS Surabaya","Aktif","15-10-2020","11-12-2020","","Lainnya","28 February 2022 06:14","28 February 2022 06:49"
"074/1940S/201.2/2020","Perjanjian Kerjasama Swakelola oleh Instansi Pemerintah Lain Pelaksana Swakelola","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Kerjasama Swakelola oleh Instansi Pemerintah Lain Pelaksana Swakelola Antara Pejabat Pembuat Komitmen Bidang perencanaan, Pengendalian dan Evaluasi Pembangunan Daerah dengan Direktorat Riset dan Pengabdian Kepada Masyarakat (DRPM) ITS Surabaya","Aktif","15-10-2020","11-12-2020","","Lainnya","28 February 2022 05:26","28 February 2022 06:48"
"97.B/BNPB/SU/HK.03/09/2020","Perjanjian Kerjasama","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian Kerjasama antara Badan Nasional Penanggulangan Bencana dan Institut Teknologi Sepuluh Nopember","Aktif","11-09-2020","15-12-2020","2","Lainnya","28 February 2022 04:53","28 February 2022 06:46"
"006/MMII/IV/2020","Perjanjian antara PT. Indonesia Asahan Aluminium (Persero) dengan Institut Teknologi Sepuluh Nopember","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Perjanjian antara PT. Indonesia Asahan Aluminium (Persero) dengan Institut Teknologi Sepuluh Nopember  tentang Perjanjian Pendanaan Mining and Minerals Industry Institute Award, PT Indonesia Asahan Alumunium (Persero),","Aktif","09-06-2020","09-12-2021","","Lainnya","28 February 2022 06:46","28 February 2022 06:46"
"0183.1.00/IT2.IV.3/KS.00.00/2021","Kajian Model Kolaborasi Masyarakat, Swasta dan Pemerintah Dalam Pengelolaan RTH di Kabupaten Tuban","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Kajian Model Kolaborasi Masyarakat, Swasta dan Pemerintah Dalam Pengelolaan RTH di Kabupaten Tuban","Aktif","06-09-2021",,"","Dinas Kabupaten","28 February 2022 06:36","28 February 2022 06:37"
"231.SP/C6/KU.03.00/2021","Surat Perjanjian Antara Pejabat Pembuat Komitmen Fungsi Sarana dan Prasarana Direktorat Pendidikan Masyarakat dan Pendidikan Khusus Direktorat Jenderal Pendidikan Anak Usia Dini, Pendidikan Dasar dan Pendidikan Menengah denngan rektor ITS Surabaya","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Surat Perjanjian Antara Pejabat Pembuat Komitmen Fungsi Sarana dan Prasarana Direktorat Pendidikan Masyarakat dan Pendidikan Khusus Direktorat Jenderal Pendidikan Anak Usia Dini, Pendidikan Dasar dan Pendidikan Menengah denngan rektor ITS Surabaya","Aktif","05-05-2021","31-12-2021","","Lainnya","28 February 2022 06:36","28 February 2022 06:36"
"5300039427","Jasa Pendahuluan Desain Dermaga Pada Area Rencana Pabrik Petrokimia di Papua Barat","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Jasa Pendahuluan Desain Dermaga Pada Area Rencana Pabrik Petrokimia di Papua Barat","Aktif","08-10-2021","22-10-2021","275759000","Lainnya","28 February 2022 06:30","28 February 2022 06:30"
"602.1/24914/105.4/2021","Penyusunan Juknis Pembangunan IPAL Komunal","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Juknis Pembangunan IPAL Komunal","Aktif","09-07-2021","06-10-2021","99330000","Dinas Propinsi","28 February 2022 06:20","28 February 2022 06:20"
"0184.1.00/IT2.IV.3/KS.00.00/2021","PENYUSUNAN KAJIAN PROGRAM TEMPAT PENGELOLAAN SAMPAH REDUCE REUSE RECYCLE (TPS 3R) KABUPATEN KEDIRI","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan PENYUSUNAN KAJIAN PROGRAM TEMPAT PENGELOLAAN SAMPAH REDUCE REUSE RECYCLE (TPS 3R) KABUPATEN KEDIRI","Aktif","18-08-2021","20-11-2021","","Dinas Kabupaten","28 February 2022 06:16","28 February 2022 06:16"
"602.1/24912/105.4/2021","Penyusunan Dokumen Monitoring dan Evaluasi Air Limbah dan Drainase","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Penyusunan Dokumen Monitoring dan Evaluasi Air Limbah dan Drainase","Aktif","09-07-2021","06-10-2021","49830000","Dinas Propinsi","28 February 2022 06:11","28 February 2022 06:11"
"0165.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","","Dikti","28 February 2022 06:08","28 February 2022 06:08"
"602.1/24902/105.4/2021","Dokumen Perencanaan Pengadaan Lahan untuk Sampah Regional Kab/Kota Kediri","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Dokumen Perencanaan Pengadaan Lahan untuk Sampah Regional Kab/Kota Kediri","Aktif","06-07-2021","03-10-2021","99770000","Dinas Propinsi","28 February 2022 06:07","28 February 2022 06:07"
"0164.1.00/IT2.IV.3/KS.00.00/2021","Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Program Terapan Bidang Teknologi Informasi Dan Komunikasi (PRODISTIK)","Aktif","04-01-2021","04-01-2022","","Dikti","28 February 2022 06:01","28 February 2022 06:01"
"602.1/24910/105.4/2021","Dokumen Perencanaan Pengadaan Lahan untuk Sampah Regional Kab/Kota Probolinggo","Implementation Arrangement (IA)","Memorandum of Understanding (MoU)","Melakukan Dokumen Perencanaan Pengadaan Lahan untuk Sampah Regional Kab/Kota Probolinggo","Aktif","06-07-2021","03-10-2021","99770000","Dinas Propinsi","28 February 2022 06:00","28 February 2022 06:00"
